County,First_FPC_Score
"Gilmer, Georgia, US",3.828464090597831
"Glascock, Georgia, US",-25.56412909968826
"Glynn, Georgia, US",16.58974803744392
"Gordon, Georgia, US",10.930116459640864
"Grady, Georgia, US",-0.3476451348325062
"Greene, Georgia, US",-8.949539331169808
"Gwinnett, Georgia, US",57.845110277063355
"Habersham, Georgia, US",17.671092747240838
"Hall, Georgia, US",41.476420382489934
"Hancock, Georgia, US",-6.669870166875425
"Haralson, Georgia, US",-8.864501501186034
"Harris, Georgia, US",0.2618584154411368
"Hart, Georgia, US",-7.691288596395397
"Heard, Georgia, US",-19.819298567771362
"Henry, Georgia, US",30.925190905986824
"Houston, Georgia, US",22.333781756754206
"Irwin, Georgia, US",-19.59708711275587
"Jackson, Georgia, US",14.4818837833959
"Jasper, Georgia, US",-17.704328461643794
"Jeff Davis, Georgia, US",-3.058708379252644
"Jefferson, Georgia, US",-3.9277277352125153
"Jenkins, Georgia, US",-15.376697595743812
"Johnson, Georgia, US",-10.831612772352788
"Jones, Georgia, US",-10.183231245417812
"Lamar, Georgia, US",-10.826012034536127
"Lanier, Georgia, US",-18.49267872438038
"Laurens, Georgia, US",5.939341175720794
"Lee, Georgia, US",2.116556054812633
"Liberty, Georgia, US",0.37089503333304097
"Lincoln, Georgia, US",-26.285699644966492
"Long, Georgia, US",-17.79123381491406
"Lowndes, Georgia, US",21.988643575483167
"Lumpkin, Georgia, US",-2.118913090436751
"Macon, Georgia, US",-15.413256612596028
"Madison, Georgia, US",-5.0951124187753
"Marion, Georgia, US",-21.777266535962944
"McDuffie,Georgia,US",-5.854958287116518
"McIntosh, Georgia, US",-15.628533923183905
"Meriwether, Georgia, US",-6.80212071660898
"Miller, Georgia, US",-20.08205893780199
"Mitchell, Georgia, US",4.18829182907096
"Monroe, Georgia, US",-3.660418618779615
"Montgomery, Georgia, US",-11.714084904061348
"Morgan, Georgia, US",-10.684785227433352
"Murray, Georgia, US",1.5671111602459045
"Muscogee, Georgia, US",32.36451393008961
"Newton, Georgia, US",18.61014260127269
"Oconee, Georgia, US",-2.6654555260813373
"Oglethorpe, Georgia, US",-10.83566416584159
"Paulding, Georgia, US",19.765245980857813
"Peach, Georgia, US",-6.753790475876553
"Pickens, Georgia, US",-8.148644375401847
"Pierce, Georgia, US",-2.3748040971512943
"Pike, Georgia, US",-10.534649896903264
"Polk, Georgia, US",4.673562094112212
"Pulaski, Georgia, US",-19.598269132376405
"Putnam, Georgia, US",-2.5309041904725778
"Quitman, Georgia, US",-42.87178725337656
"Rabun, Georgia, US",-15.865878330193954
"Randolph, Georgia, US",-10.444548986231167
"Richmond, Georgia, US",31.604934529089476
"Rockdale, Georgia, US",13.734090284797844
"Schley, Georgia, US",-35.07779019988995
"Screven, Georgia, US",-14.418775910366426
"Seminole, Georgia, US",-17.967355852025083
"Spalding, Georgia, US",10.005168037262305
"Stephens, Georgia, US",3.365661229741128
"Stewart, Georgia, US",-10.266483146452822
"Sumter, Georgia, US",7.450019662755875
"Talbot, Georgia, US",-24.940776301920355
"Taliaferro, Georgia, US",-32.53452026647728
"Tattnall, Georgia, US",-3.881618816545263
"Taylor, Georgia, US",-24.52374661834087
"Telfair, Georgia, US",-11.188414128222831
"Terrell, Georgia, US",-9.924470801103876
"Thomas, Georgia, US",11.370583363959879
"Tift, Georgia, US",12.638160678699313
"Toombs, Georgia, US",3.2654682058992996
"Towns, Georgia, US",-15.413615133985951
"Treutlen, Georgia, US",-16.177758231488944
"Troup, Georgia, US",19.733481059532288
"Turner, Georgia, US",-11.848060491119352
"Twiggs, Georgia, US",-23.593846769444472
"Union, Georgia, US",-5.089721499334633
"Upson, Georgia, US",4.7983623168093334
"Walker, Georgia, US",12.110357581551472
